ntaname,prediction_time,prob_active_noise_next_2h,prob_active_complaints_next_2h,prob_high_traffic_volume_next_2h,prob_active_subway_ridership_next_2h,prob_active_subway_transfers_next_2h,crime_last_7d,crashes_last_7d,persons_injured_last_7d,pedestrians_injured_last_7d,cyclists_injured_last_7d,noise_last_24h,complaints_last_24h,subway_ridership_last_24h,traffic_volume_last_24h,temp_f,precip_prob,wind_mph,weather_main,hour,day_of_week,is_weekend,bluesky_noise_signal,bluesky_traffic_signal,bluesky_crowding_signal,bluesky_transit_signal,bluesky_event_signal,bluesky_safety_signal,bluesky_negative_signal,bluesky_post_count,nearby_events_count,nearby_event_titles,nearby_event_types,has_major_event,latitude,longitude
Allerton,2026-06-03 01:00:00,0.1487279951376362,0.095110032209362,0.0,8.045574231535826e-05,0.0005358028758276,53.0,0.0,0.0,0.0,0.0,5.0,27.0,3315.0,0.0,63.61,0,3.67,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.86401493246863,-73.86420373620602
Murray Hill-Kips Bay,2026-06-03 01:00:00,0.2774271992926223,0.1836197517370438,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,26.0,89.0,0.0,0.0,65.1,0,5.37,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"STEELY DAN Revue: KING OF THE WORLD Playing Steely Dan's Greatest Hits, Austin Nasso, The Town Hall Presents Kierra Sheard-Kelly: The Princess of Gospel","Music, Arts & Theatre, Sports",1,40.74424994979103,-73.975947718603
New Dorp-Midland Beach,2026-06-03 01:00:00,0.1668100948225117,0.1144663509705792,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,11.0,47.0,0.0,0.0,63.61,0,7.63,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.57431533844625,-74.10158604711995
New Springville-Willowbrook-Bulls Head-Travis,2026-06-03 01:00:00,0.1600845570051826,0.0924241114782124,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,63.61,0,5.88,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.6037287562587,-74.1754549128469
North Corona,2026-06-03 01:00:00,0.1542926651037615,0.0858989684634114,0.0,8.045574231535826e-05,0.0005358028758276,36.0,0.0,0.0,0.0,0.0,6.0,28.0,11115.0,0.0,64.63,0,5.59,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"New York Mets vs. St. Louis Cardinals, New York Mets vs St. Louis Cardinals: Mets Soccer Jersey, New York Mets vs. Atlanta Braves",Sports,1,40.75405275969907,-73.86285165129884
Norwood,2026-06-03 01:00:00,0.2165860533828583,0.1015925711340786,0.0,0.0001644507140461,0.0032607457030524,79.0,0.0,0.0,0.0,0.0,16.0,64.0,11698.0,0.0,63.68,0,3.22,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1,40.87714128311716,-73.87901913214166
Oakland Gardens-Hollis Hills,2026-06-03 01:00:00,0.1553925282123781,0.050981991114374,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,62.11,0,5.79,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.7393068892191,-73.75457782856212
Oakwood-Richmondtown,2026-06-03 01:00:00,0.1432268979243524,0.071817035553212,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,63.64,0,7.63,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.56199923505495,-74.12259139242468
Ocean Hill,2026-06-03 01:00:00,0.2411896214502156,0.095796725601339,0.2459912277277793,0.0017097249916272,0.0240985202594647,78.0,0.0,0.0,0.0,0.0,20.0,58.0,15286.0,2613.0,64.72,0,7.2,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,40.67663776915847,-73.91364725581747
Old Astoria-Hallets Point,2026-06-03 01:00:00,0.1425587878532365,0.0950045915152585,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,0.0,64.99,0,4.94,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"Green Velvet, Elefante (18+)",Music,1,40.77208841350469,-73.931419134738
Ozone Park,2026-06-03 01:00:00,0.1468135945398893,0.0826133936807677,0.0,0.0001033601550465,0.0010112670457775,19.0,0.0,0.0,0.0,0.0,4.0,22.0,11004.0,0.0,64.4,0,7.14,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.67557089288657,-73.84701425567653
Ozone Park (North),2026-06-03 01:00:00,0.1648774593143709,0.1055103404158571,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,0.0,64.4,0,7.14,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.68456311423461,-73.84936707296298
Park Slope,2026-06-03 01:00:00,0.1855402381780502,0.1864644663344514,0.219908369734197,0.0654868136478691,0.0387792274160419,51.0,0.0,0.0,0.0,0.0,15.0,87.0,57964.0,11815.0,64.87,0,7.09,Clouds,1,2,0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,2.0,10,"That's Messed Up LIVE!, Liza Treyger Presents Show and Tell, Carin Leon - De Sonora Para El Mundo Tour 2026","Arts & Theatre, Music, Miscellaneous",1,40.67183206942073,-73.9797593534305
Murray Hill-Broadway Flushing,2026-06-03 01:00:00,0.1269848773347601,0.1305189089100177,0.3166831943970928,0.0,0.0,23.0,0.0,0.0,0.0,0.0,7.0,57.0,0.0,3754.0,63.52,0,5.61,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.76887166783355,-73.81076982857023
Parkchester,2026-06-03 01:00:00,0.1361543086231451,0.0691738358372759,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,64.38,0,4.25,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.83774659242486,-73.85798885689918
Pelham Bay-Country Club-City Island,2026-06-03 01:00:00,0.1805187636198414,0.1134372774180606,0.0,0.0004317303701407,0.0016308347228094,34.0,0.0,0.0,0.0,0.0,8.0,41.0,7448.0,0.0,63.59,0,3.96,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.845591646820566,-73.81153785434297
Pelham Gardens,2026-06-03 01:00:00,0.1164345848470691,0.102498729960487,0.287361329095288,8.045574231535826e-05,0.0005358028758276,21.0,0.0,0.0,0.0,0.0,4.0,32.0,5482.0,7551.0,63.39,0,3.8,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.86424699054363,-73.84669312050869
Pelham Parkway-Van Nest,2026-06-03 01:00:00,0.3374279192773455,0.3276977156620993,0.0338362367391445,8.045574231535826e-05,0.0005358028758276,43.0,0.0,0.0,0.0,0.0,22.0,51.0,5098.0,18309.0,64.24,0,3.67,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.84789792343957,-73.86496703703544
Pomonok-Electchester-Hillcrest,2026-06-03 01:00:00,0.5480138748976182,0.3334473053256165,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,48.0,86.0,0.0,0.0,63.23,0,6.04,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"NYCFC II vs. Carolina Core FC, NYCFC II vs. Chattanooga FC, NYCFC II vs. Philadelphia Union II",Sports,1,40.727068060088875,-73.80342199907302
Port Richmond,2026-06-03 01:00:00,0.1517265230303923,0.0922543831392975,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,64.56,0,6.55,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.633833852019414,-74.13317705359312
Prospect Heights,2026-06-03 01:00:00,0.2678830391731709,0.2307807824581179,0.0,8.045574231535826e-05,0.0005358028758276,20.0,0.0,0.0,0.0,0.0,17.0,53.0,7914.0,0.0,64.83,0,7.09,Clouds,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10,"Carin Leon - De Sonora Para El Mundo Tour 2026, Lunar Sway by Nick Butler, NARRATIVE SHORTS | SOULmeet","Music, Film, Miscellaneous",1,40.67760470324895,-73.9675723699146
Prospect Lefferts Gardens-Wingate,2026-06-03 01:00:00,0.2621623659080394,0.1406248631454335,0.0028354934748017,8.045574231535826e-05,0.0005663608602183,44.0,0.0,0.0,0.0,0.0,20.0,79.0,8552.0,6624.0,64.9,0,7.72,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.65975736606931,-73.94796184852231
Prospect Park,2026-06-03 01:00:00,0.1405594997618645,0.0502060105352873,0.0,8.045574231535826e-05,0.0005358028758276,4.0,0.0,0.0,0.0,0.0,1.0,6.0,3548.0,0.0,64.69,0,7.63,Clear,1,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.0,3,"Benefit Show: Patti LaBelle + Lady Wray + morernbplease, Royel Otis meet me in the car tour, Liz Phair & Sleater-Kinney: The Flannel and The Fury 2026",Music,1,40.66160271090382,-73.96892066865843
Queens Village,2026-06-03 01:00:00,0.2022809195668126,0.1229473615553442,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,13.0,43.0,0.0,0.0,62.2,0,6.15,Clear,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"International Soccer Watch Party: USA v. Australia, International Soccer Watch Party: Brazil v. Haiti, MANILOW: The Last Long Island Concert","Sports, Music, Arts & Theatre",1,40.71608417656449,-73.74175489319208
Queensboro Hill,2026-06-03 01:00:00,0.1203688172648493,0.0557697814588493,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,64.04,0,5.61,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,"Governors Ball Music Festival, LVL UP ACADEMY ANNUAL RECITAL, SexBomb Get, Get Aw! US Tour","Miscellaneous, Arts & Theatre, Music",1,40.74310114381317,-73.8196841508459
Queensbridge-Ravenswood-Dutch Kills,2026-06-03 01:00:00,0.2723043754839521,0.1928061388038297,0.0,0.0041456645071651,0.03613880525484,74.0,0.0,0.0,0.0,0.0,24.0,98.0,24215.0,0.0,65.28,0,5.46,Clouds,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Elefante (18+),Music,1,40.75831913537943,-73.93793241553735
